code,name,A,B,C,D,E,F
600800,天津磁卡,584875730,55708031,62511086,75000,75000,50000
600801,华新水泥,203723654,12026667,6919548,16100,0,0
600802,福建水泥,466831008,24970375,29032229,5000,0,0
600804,鹏博士,2651679756,105009619,124217728,335300,59200,96400
600805,悦达投资,566177769,16211473,17498086,0,0,0
600807,天业股份,1072189878,67984261,50384208,600,0,0
600808,马钢股份,410923467,13100970,18237213,10000,0,0
600809,山西汾酒,396315094,47495397,48028152,457752,69400,300
600811,东方集团,1025590378,18822334,19538250,40500,0,200
600815,厦工股份,448692332,14736247,12007412,2300,0,0
600816,安信信托,1618993526,62866371,46041703,181506,0,0
600820,隧道股份,1255920915,48896360,71505933,114300,0,7000
600823,世茂股份,358986950,10738873,16148620,0,0,0
600825,新华传媒,641432473,17695467,23111056,5500,0,100
600826,兰生股份,533005294,18035648,28594354,0,0,0
600827,百联股份,735478242,8718029,6988510,99100,10000,56300
600830,香溢融通,717249672,56714574,57599632,0,0,0
600831,广电网络,571108004,11624718,12004089,5000,0,0
600835,上海机电,554070382,27571706,14831813,14100,4500,0
600837,海通证券,3035368736,35378257,30611548,3518587,628999,52000
600838,上海九百,901796890,89301499,65359886,141000,0,55000
600839,四川长虹,1925285429,74251982,67005785,967700,9900,71400
600844,丹化科技,484052136,66974885,25674661,0,0,0
600846,同济科技,701137810,29584706,25096121,1200,0,0
600851,海欣股份,749850043,30960220,16554119,41000,0,0
600855,航天长峰,540772539,16069930,18085587,32000,0,0
600859,王府井,428193492,0,2513924,0,0,0
600863,内蒙华电,526797584,7239316,6984524,331400,0,0
600867,通化东宝,662407428,16447966,12920675,105100,1100,20220
600868,梅雁吉祥,1161086859,130969938,141671382,198000,0,0
600872,中炬高新,557546273,42279249,42259454,157499,0,0
600873,梅花生物,1060188647,30898828,30569940,186200,80000,0
600874,创业环保,399262274,47303513,51356426,6000,0,0
600875,东方电气,1132526219,23171440,28463807,367000,20000,0
600877,中国嘉陵,408277324,64417550,56547370,100000,100000,40000
600879,航天电子,1051058958,58744404,77936082,76080,11000,2000
600880,博瑞传播,822200230,14150968,17227921,71515,0,0
600881,亚泰集团,791045661,25846655,17732052,6000,0,0
600884,杉杉股份,1153069621,62967922,58222844,80400,20400,69600
600886,国投电力,1745547532,31596472,23861341,42700,1000,113500
600887,伊利股份,2375248056,0,10380622,1144381,0,2000
600893,中航动力,1796851655,0,7808788,142729,0,0
600894,广日股份,370715759,7454192,7992367,0,0,0
600895,张江高科,1523057030,26763245,47118148,46300,0,32000
600900,长江电力,2085793890,22052012,18211991,942982,55000,11400
600967,北方创业,900867965,39477409,27676027,0,0,0
600970,中材国际,537148447,16326455,19123024,30000,0,0
600971,恒源煤电,422776239,149900331,106903528,16600,1000,0
600976,健民集团,375366559,20279457,27440940,0,0,0
600978,宜华生活,1451612346,43571571,31112227,50000,14500,0
600987,航民股份,362776829,12830606,15477155,4000,0,0
600993,马应龙,604518086,32067245,22009011,0,0,0
600998,九州通,296154945,7450643,7354213,21600,600,0
600999,招商证券,1439719932,50829901,65376784,264520,12000,12000
601000,唐山港,321662982,14679971,6347606,0,0,0
601001,大同煤业,442848809,83370410,54858562,84500,75000,106000
601002,晋亿实业,628512779,64797538,57789280,156200,0,4600
601005,重庆钢铁,287798783,0,196082,0,0,0
601006,大秦铁路,1540585168,19714897,26832892,444855,21500,557900
601009,南京银行,1492532487,57672536,35039468,290680,7500,45200
601012,隆基股份,1220850989,82717224,80796693,0,0,152000
601018,宁波港,808513539,53766289,18142119,1701431,25000,19000
601038,一拖股份,453362738,193800836,140198424,0,0,20000
601088,中国神华,1111127878,64431799,59405217,685000,142000,25800
601098,中南传媒,342332244,6710703,6484795,43696,21496,500
601099,太平洋,2888164273,114788195,207602290,401300,6000,0
601101,昊华能源,165251048,0,946350,2000,0,0
601106,中国一重,1096041188,275476994,260160177,251370,0,267030
601111,中国国航,637310460,42400227,39200642,416600,5000,253700
601117,中国化学,872201713,69895519,73330696,138600,2300,64200
601118,海南橡胶,922443140,67649619,57865451,250800,63200,171100
601139,深圳燃气,180945226,2720373,4852884,0,0,0
601158,重庆水务,339922579,101168551,89593817,45500,28000,0
601166,兴业银行,6038142969,81166485,80073947,3342531,77700,120600
601168,西部矿业,935641083,47251672,42401284,15700,12200,0
601169,北京银行,1108002254,16359320,16747474,995066,90700,39468
601179,中国西电,512777225,5104891,13088801,170500,29600,20000
601186,中国铁建,1878954312,151838773,197820123,1634100,535200,128000
601216,君正集团,1052675516,128749572,138377664,979200,203800,319980
601218,吉鑫科技,493416089,28762918,22343795,0,0,0
601225,陕西煤业,356298442,31555484,20571311,209700,133700,0
601231,环旭电子,388283276,17869984,15383390,6900,500,9200
601238,广汽集团,264305786,12054197,8964295,12200,2500,0
601258,庞大集团,776154135,44976003,34412949,57800,17900,8700
601288,农业银行,2254783174,37435410,21617704,2451200,743100,0
601311,骆驼股份,644234189,26471853,33754099,39100,25500,27400
601318,中国平安,11570558825,179662762,160204114,2374200,173600,71700
601328,交通银行,1806314462,34318957,39325384,3269035,14600,200
601333,广深铁路,542409409,5800721,10282801,389000,14100,28100
601336,新华保险,1235716756,41089699,54210387,179600,0,0
601369,陕鼓动力,381445493,6662705,5759029,45000,0,0
601377,兴业证券,2399233522,62360948,51917255,509400,52700,100000
601388,怡球资源,461891008,18999367,22528950,107740,3000,200
601390,中国中铁,1387361986,173946267,188078584,3852482,1453600,354300
601398,工商银行,2771907340,36935597,56634129,9542400,316600,1395500
601519,大智慧,527868877,5483632,12473929,8000,0,0
601555,东吴证券,1887448141,87880717,98382280,1414800,13900,23200
601600,中国铝业,1437890365,74275990,47340270,969700,40400,50900
601601,中国太保,832796809,35340836,12543638,284000,68200,43400
601607,上海医药,680565973,32511167,22791874,113300,50000,41000
601608,中信重工,657868803,20885163,24150826,221100,93000,0
601618,中国中冶,890381658,39750703,49575840,986478,424300,500000
601628,中国人寿,1342717610,19263570,28456877,211543,0,3700
601633,长城汽车,361751939,10245759,6422261,288122,18600,2000
601666,平煤股份,430943937,65410421,45788336,16700,3000,0
601668,中国建筑,3319763873,177739046,204304216,3133500,603000,264200
601669,中国电建,1169755208,69278244,67692711,1105377,125000,220000
601678,滨化股份,400069934,58700015,66318996,40000,40000,0
601688,华泰证券,2559147503,83057178,79160852,4788191,382972,503600
601699,潞安环能,477911302,78330814,41661738,3066213,1208300,205732
601717,郑煤机,763409690,23456931,44092040,1900,0,0
601718,际华集团,1029203781,268463694,209701693,212312,2500,0
601727,上海电气,939604126,0,3757806,747100,0,0
601766,中国中车,2656450685,84537598,107661956,1091460,418600,120600
601777,力帆股份,908297725,39202220,33946430,63500,13000,0
601788,光大证券,2813907777,45666572,50248410,19200,800,1800
601789,宁波建工,389689611,0,759560,0,0,0
601800,中国交建,574727649,81583286,71237017,746800,251200,260234
601801,皖新传媒,337047084,38983923,16457686,43000,0,0
601808,中海油服,475909988,5377137,7935705,83400,0,1200
601818,光大银行,1547063059,46088058,52003294,4989800,442000,94400
601857,中国石油,1231695902,34084018,17700005,820400,364900,0
601866,中海集运,642198550,35219718,33562183,1059812,300000,115000
601872,招商轮船,648415052,24113586,32885538,113700,6100,0
