name,ticktime,price,volume,prev_price,kind
山东矿机,15:00:20,10.69,369500,10.68,U
新时达,15:00:20,22.97,139300,22.97,U
英飞拓,15:00:20,13.72,306300,13.72,E
天顺风能,15:00:20,14.09,245300,14.08,E
新界泵业,15:00:20,15.46,143600,15.45,U
金杯电工,15:00:20,9.69,556700,9.66,E
林州重机,15:00:20,12.42,321194,12.4,E
西泵股份,15:00:20,77.51,203000,77.55,E
新都化工,15:00:20,16.05,332948,16.03,E
亚太科技,15:00:20,10.18,623422,10.21,E
鸿路钢构,15:00:20,20.79,135300,20.82,D
中化岩土,15:00:20,13.99,282987,13.99,E
金新农,15:00:20,18.74,457300,18.67,E
凯美特气,15:00:20,13.32,261350,13.32,E
千红制药,15:00:20,22.8,367600,22.81,E
宝鼎重工,15:00:20,17.0,172300,16.99,U
南方轴承,15:00:20,13.42,223200,13.41,E
顺荣三七,15:00:20,54.91,262700,54.91,E
辉隆股份,15:00:20,21.48,504800,21.47,E
世纪游轮,15:00:20,213.01,259371,213.02,E
亚威股份,15:00:20,16.6,241400,16.6,U
天沃科技,15:00:20,11.58,547212,11.56,E
上海绿新,15:00:20,12.62,484800,12.62,E
贝因美,15:00:20,14.79,345800,14.78,E
清新环境,15:00:20,22.69,295200,22.68,E
海能达,15:00:20,12.97,940880,12.97,E
万安科技,15:00:20,23.29,291700,23.29,E
日上集团,15:00:20,32.5,91500,32.5,U
比亚迪,15:00:20,63.8,298200,63.8,E
海南瑞泽,15:00:20,44.8,157400,44.9,D
江粉磁材,15:00:20,11.9,1547096,11.89,E
佰利联,15:00:20,39.9,203635,39.68,E
以岭药业,15:00:20,18.46,232100,18.43,U
龙力生物,15:00:20,15.4,1074704,15.39,E
大连电瓷,15:00:20,17.95,486800,17.93,E
捷顺科技,15:00:20,22.3,527300,22.31,D
爱康科技,15:00:20,12.47,260000,12.46,E
朗姿股份,15:00:20,64.0,139300,64.01,E
亚玛顿,15:00:20,52.8,480700,52.75,E
龙生股份,15:00:20,53.95,216100,53.94,E
佛慈制药,15:00:20,17.12,323800,17.12,E
海思科,15:00:20,22.32,89533,22.35,E
中科金财,15:00:20,91.15,212804,91.0,E
雪迪龙,15:00:20,26.7,187500,26.7,E
普邦园林,15:00:20,8.14,296600,8.13,U
首航节能,15:00:20,30.86,450200,30.99,U
德联集团,15:00:20,12.11,281506,12.11,E
奥马电器,15:00:20,102.6,86710,102.67,E
东江环保,15:00:20,19.88,297900,19.88,E
浙江美大,15:00:20,20.27,80150,20.27,E
奋达科技,15:00:20,42.3,342843,42.27,E
猛狮科技,15:00:20,30.04,155500,30.06,D
华东重机,15:00:20,10.92,240780,10.92,E
亿利达,15:00:20,18.05,211900,18.03,E
博林特,15:00:20,12.12,582200,12.12,E
远程电缆,15:00:20,20.02,127415,19.98,U
红旗连锁,15:00:20,8.07,608488,8.07,E
博实股份,15:00:20,30.76,164870,30.75,E
海欣食品,15:00:20,29.33,536600,29.33,E
浙江世宝,15:00:20,38.7,102500,38.92,D
光洋股份,15:00:20,17.07,320050,17.05,E
龙大肉食,15:00:20,16.0,174900,16.0,E
一心堂,15:00:20,61.2,78000,61.01,E
燕塘乳业,15:00:20,37.77,104200,37.71,U
利民股份,15:00:20,37.36,275774,36.48,U
国信证券,15:00:20,20.08,585444,20.07,E
世龙实业,15:00:20,39.54,83100,39.58,D
昇兴股份,15:00:20,36.34,96800,36.34,U
华通医药,15:00:20,107.6,33360,107.6,E
天际股份,15:00:20,47.68,77840,47.68,U
多喜爱,15:00:20,52.99,216950,52.97,E
汇洁股份,15:00:20,49.99,147400,49.76,E
索菱股份,15:00:20,48.5,192500,48.4,E
众兴菌业,15:00:20,51.5,147500,51.5,E
深深宝Ａ,15:00:17,18.21,422714,18.19,U
深圳能源,15:00:17,10.25,494900,10.25,U
中航地产,15:00:17,12.93,602550,12.93,E
中金岭南,15:00:17,15.61,1929088,15.61,E
